,level_0,level_1,correlation
0,Q2,Q2,1.0
1,Q2,Q3,0.5970569653891936
2,Q2,Q4,0.44698686445563635
3,Q2,Q6,0.6384155852549518
4,Q2,Q7,0.45608051127861604
5,Q2,Q48,0.45610267805795707
6,Q2,Q49,0.43025222904633553
7,Q2,Q50,0.44501228990230435
8,Q2,Q52,0.424475115918711
9,Q2,Q85,0.5467550272448481
10,Q2,Q86,0.5126628806942778
11,Q2,Q87,0.5206025155128226
12,Q2,Q88,0.4430418157485843
13,Q2,Q89,0.2949700530404833
14,Q3,Q2,0.5970569653891936
15,Q3,Q3,1.0
16,Q3,Q4,0.5264536908052184
17,Q3,Q6,0.6464940409921138
18,Q3,Q7,0.5330996364374491
19,Q3,Q48,0.39139679072530975
20,Q3,Q49,0.3657689202203719
21,Q3,Q50,0.3908711598827064
22,Q3,Q52,0.3695521608992057
23,Q3,Q85,0.7030249764772053
24,Q3,Q86,0.7470400203475042
25,Q3,Q87,0.6073940632735033
26,Q3,Q88,0.5403938608489582
27,Q3,Q89,0.3804969697327941
28,Q4,Q2,0.44698686445563635
29,Q4,Q3,0.5264536908052184
30,Q4,Q4,1.0
31,Q4,Q6,0.533286213287275
32,Q4,Q7,0.5761972476039458
33,Q4,Q48,0.4152948813984026
34,Q4,Q49,0.4092509556160645
35,Q4,Q50,0.42073107912893665
36,Q4,Q52,0.40193149554468044
37,Q4,Q85,0.4236449437369945
38,Q4,Q86,0.4497331639411351
39,Q4,Q87,0.4097256137819813
40,Q4,Q88,0.3680426380671725
41,Q4,Q89,0.24157621151672562
42,Q6,Q2,0.6384155852549518
43,Q6,Q3,0.6464940409921138
44,Q6,Q4,0.533286213287275
45,Q6,Q6,1.0
46,Q6,Q7,0.5273745983631942
47,Q6,Q48,0.4518914246114962
48,Q6,Q49,0.4341651920451471
49,Q6,Q50,0.4635998416404582
50,Q6,Q52,0.43779196198276205
51,Q6,Q85,0.5967697465706118
52,Q6,Q86,0.5886657086393193
53,Q6,Q87,0.5514464587390983
54,Q6,Q88,0.44948999833872727
55,Q6,Q89,0.2707182237894265
56,Q7,Q2,0.45608051127861604
57,Q7,Q3,0.5330996364374491
58,Q7,Q4,0.5761972476039458
59,Q7,Q6,0.5273745983631942
60,Q7,Q7,1.0
61,Q7,Q48,0.3460140645320015
62,Q7,Q49,0.34274078740887604
63,Q7,Q50,0.34040289107511373
64,Q7,Q52,0.3186464341623265
65,Q7,Q85,0.4652523861546223
66,Q7,Q86,0.4914600737414806
67,Q7,Q87,0.4569846830523527
68,Q7,Q88,0.48616106963805295
69,Q7,Q89,0.3440405125033073
70,Q48,Q2,0.45610267805795707
71,Q48,Q3,0.39139679072530975
72,Q48,Q4,0.4152948813984026
73,Q48,Q6,0.4518914246114962
74,Q48,Q7,0.3460140645320015
