,Q2,Q3,Q4,Q6,Q7,Q48,Q49,Q52,Q86,Q87,Q88,Q89,AA,White,Asian,Other,HispY,HispN,DisY,DisN,Under40,Over40,NonSuper,Super,-10YearsFed,11-20YearsFed,+20Fed,Male,Female,Mil,NoMil,dbl_needs_not_met,Outcome
16403,1.0,1.0,5.0,3.0,5.0,5.0,5.0,5.0,4.0,2.0,5.0,5.0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,1,1,0,0,1,0,1
16404,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,0,1,0,0,0,1,1,0,0,1,1,0,1,0,0,1,0,1,0,0,0
16405,4.0,2.0,5.0,2.0,4.0,4.0,4.0,4.0,4.0,3.0,5.0,5.0,0,1,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,1
16406,4.0,4.0,4.0,4.0,4.0,2.0,4.0,3.0,4.0,4.0,5.0,5.0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1
16407,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,0,1,0,0,0,1,1,0,0,1,1,0,1,0,0,0,1,0,1,1,1
16408,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0
16409,5.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,0
16410,2.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0,0,1,0,0,0,1,0,1,0,1,1,0,1,0,0,0,1,0,1,0,0
16411,3.0,4.0,4.0,3.0,4.0,5.0,5.0,5.0,4.0,3.0,4.0,4.0,0,1,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,1,0,0
16412,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,0,1,0,0,0,1,0,1,0,1,1,0,1,0,0,1,0,0,1,0,0
16413,2.0,1.0,3.0,1.0,4.0,2.0,2.0,2.0,3.0,1.0,3.0,5.0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,0,1,0,1,0,1
16414,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0
16415,2.0,3.0,2.0,2.0,3.0,4.0,4.0,1.0,4.0,3.0,4.0,4.0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1,1,0,0,1,0,0
16416,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,0,1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,1,0,1,0,1
16417,5.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0
16418,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0,0,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0
16419,4.0,2.0,3.0,2.0,2.0,4.0,4.0,4.0,2.0,2.0,4.0,4.0,0,1,0,0,0,1,0,1,0,1,1,0,1,0,0,1,0,0,1,0,1
16420,2.0,4.0,4.0,3.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,0,1,0,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0
16421,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,1,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,1,0,0
16422,2.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,0,1,0,0,0,1,0,1,0,1,1,0,1,0,0,0,1,0,1,0,0
16423,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,0,0,0,1,0,1,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0
16424,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,2.0,4.0,5.0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1
16425,3.0,4.0,3.0,2.0,3.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1
16426,5.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,0,1,0,0,0,1,0,1,0,1,1,0,1,0,0,1,0,0,1,0,0
16427,4.0,4.0,4.0,3.0,4.0,5.0,5.0,5.0,4.0,1.0,1.0,4.0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0
16428,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0
16429,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,3.0,5.0,5.0,0,1,0,0,0,1,0,1,0,1,1,0,1,0,0,1,0,0,1,0,0
16430,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1
16431,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,0,1,0,0,0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,0,0
