,Q2,Q3,Q4,Q6,Q7,Q48,Q49,Q52,Q86,Q87,Q88,Q89,AA,White,Asian,Other,HispY,HispN,DisY,DisN,Under40,Over40,NonSuper,Super,-10YearsFed,11-20YearsFed,+20Fed,Male,Female,Mil,NoMil,dbl_needs_not_met,Outcome
1,4.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,0,1
2,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,0
3,2.0,3.0,3.0,2.0,4.0,3.0,4.0,5.0,2.0,2.0,4.0,3.0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,1,0,1,0,1,0,0
4,3.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,0
5,4.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,0
6,4.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0
7,4.0,4.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,3.0,3.0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,1,0,0,1,0,1
8,2.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,2.0,4.0,4.0,0,0,0,1,0,1,0,1,0,1,1,0,0,1,0,0,1,0,1,0,0
9,4.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,0,1,0,0,0,1,0,1,0,1,1,0,1,0,0,0,1,0,1,0,0
10,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0
11,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0
12,5.0,4.0,5.0,4.0,3.0,5.0,5.0,5.0,4.0,3.0,4.0,5.0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,1,0,0,1,0,1
13,3.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,2.0,3.0,4.0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,0,1
14,4.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,5.0,5.0,0,1,0,0,0,1,0,1,0,1,1,0,1,0,0,1,0,0,1,0,1
15,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1,1,0,0,1,0,0
16,4.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,0,1,0,0,1,0,1,0,1,1,0,1,0,0,1,0,0,1,0,0
18,2.0,2.0,5.0,3.0,4.0,5.0,5.0,5.0,3.0,4.0,3.0,3.0,0,1,0,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0
19,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,0,1,0,0,1,0,1,0,1,1,0,1,0,0,0,1,0,1,0,0
20,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,3.0,4.0,4.0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,0
21,4.0,2.0,4.0,3.0,4.0,4.0,4.0,4.0,2.0,3.0,4.0,4.0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1,1,0,0,1,0,1
22,5.0,4.0,5.0,4.0,4.0,4.0,4.0,3.0,4.0,1.0,2.0,1.0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1,1,0,0,1,0,0
23,3.0,4.0,3.0,3.0,4.0,5.0,4.0,4.0,3.0,4.0,4.0,4.0,0,1,0,0,0,1,0,1,0,1,1,0,1,0,0,1,0,0,1,0,1
24,1.0,4.0,4.0,4.0,4.0,2.0,3.0,2.0,4.0,4.0,5.0,5.0,0,1,0,0,0,1,0,1,0,1,1,0,1,0,0,0,1,0,1,0,0
25,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,0,0
26,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,5.0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0
27,4.0,3.0,3.0,4.0,5.0,3.0,4.0,3.0,3.0,3.0,5.0,5.0,0,1,0,0,0,1,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0
28,4.0,3.0,5.0,2.0,4.0,5.0,5.0,4.0,3.0,4.0,4.0,4.0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0
29,4.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,2.0,3.0,4.0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0
30,4.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,4.0,3.0,4.0,4.0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,1,0,0,1,1,1
31,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,1,0,0,0,1,0,1,0,1,1,0,1,0,0,0,1,0,1,0,1
32,4.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,0,1,0,0,0,1,0,1,0,1,1,0,1,0,0,1,0,0,1,0,0
33,3.0,3.0,4.0,3.0,4.0,5.0,5.0,4.0,3.0,3.0,4.0,5.0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,0,1,0,1,0,1
34,3.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,0,1,0,0,0,1,0,1,0,1,1,0,1,0,0,0,1,0,1,0,0
35,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,1,0,0,0,1,0,1,0,1,0,1,1,0,0,1,0,0,1,0,0
36,5.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,0,1,0,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0
37,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,1,0,0,0,1,0,1,1,0,0,1,1,0,0,0,1,1,0,0,0
38,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,1,0,0,0,1,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0
39,2.0,2.0,3.0,1.0,4.0,3.0,5.0,3.0,4.0,3.0,4.0,4.0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0
40,4.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,0,1,0,0,0,1,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0
41,2.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,0,1,0,0,0,1,0,1,1,0,1,0,0,1,0,0,1,0,1,0,1
42,5.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,0,1,0,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0
43,5.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,0,1,0,0,0,1,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0
44,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,3.0,3.0,0,1,0,0,0,1,0,1,1,0,1,0,1,0,0,1,0,0,1,0,1
45,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,0,1,0,0,0,1,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0
46,3.0,3.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,3.0,3.0,5.0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1
48,1.0,2.0,4.0,1.0,4.0,5.0,5.0,5.0,1.0,1.0,1.0,4.0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,0,1,0,1,0,0
49,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1,1,0,0,1,0,1
50,2.0,2.0,4.0,3.0,4.0,5.0,5.0,5.0,2.0,4.0,3.0,5.0,0,1,0,0,0,1,0,1,0,1,1,0,1,0,0,0,1,1,0,0,0
51,3.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1,1,0,1,0,0,1
52,2.0,2.0,4.0,3.0,3.0,4.0,4.0,4.0,2.0,2.0,3.0,2.0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1,1,0,0,1,0,1
53,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,2.0,5.0,5.0,0,1,0,0,0,1,1,0,0,1,1,0,1,0,0,0,1,1,0,0,0
54,3.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,5.0,4.0,5.0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0
57,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0
58,4.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1,1,0,1,0,0,0
59,4.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,0,1,0,0,0,1,0,1,0,1,1,0,1,0,0,0,1,0,1,0,1
60,2.0,3.0,4.0,2.0,4.0,4.0,4.0,5.0,3.0,2.0,3.0,4.0,0,1,0,0,0,1,0,1,1,0,1,0,0,1,0,0,1,0,1,0,1
61,4.0,4.0,2.0,4.0,5.0,5.0,5.0,5.0,3.0,3.0,5.0,5.0,0,1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,1,0,1,0,0
62,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,0,1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,1,0,1,0,0
63,4.0,3.0,5.0,2.0,2.0,5.0,5.0,5.0,3.0,3.0,4.0,5.0,0,1,0,0,0,1,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0
64,4.0,4.0,2.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,0,1,0,0,0,1,0,1,0,1,1,0,1,0,0,0,1,0,1,0,0
65,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,0,1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,1,0,1,0,0
66,1.0,4.0,3.0,3.0,4.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0,0,1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,1,0,1,0,1
67,4.0,4.0,4.0,4.0,3.0,5.0,5.0,4.0,4.0,3.0,3.0,5.0,0,1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,1,0,1,0,0
68,3.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,3.0,5.0,0,1,0,0,0,1,0,1,1,0,1,0,1,0,0,1,0,0,1,0,1
69,3.0,2.0,5.0,2.0,5.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,0,1,0,0,0,1,0,1,0,1,1,0,1,0,0,1,0,0,1,0,1
70,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,0,1,0,1,0,0
72,3.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,0,1,0,1,1,0
73,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0
74,4.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,1,1,0,1,0,0,1
75,5.0,4.0,3.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,0,1
76,4.0,2.0,4.0,3.0,4.0,4.0,5.0,5.0,2.0,4.0,4.0,4.0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,0,1,0,1,0,1
77,4.0,3.0,4.0,4.0,5.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,0,1,0,0,0,1,1,0,0,1,0,1,0,1,0,0,1,0,1,1,1
78,4.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0
79,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,0,1,0,0,0,1,0,1,0,1,1,0,1,0,0,1,0,0,1,0,0
80,5.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,0,1,0,0,0,1,0,1,0,1,1,0,1,0,0,1,0,0,1,0,0
81,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,0,1
83,2.0,2.0,4.0,2.0,4.0,4.0,4.0,5.0,1.0,1.0,2.0,4.0,0,1,0,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0
84,4.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,3.0,4.0,4.0,0,1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,1,0,1,0,0
86,4.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,0,1,0,0,0,1,0,1,1,0,1,0,0,1,0,0,1,0,1,0,0
87,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,3.0,4.0,5.0,0,1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,1,0,1,0,0
89,3.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,3.0,3.0,4.0,5.0,0,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,0,1,1,0
90,3.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,0,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,0,1,0,0
91,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,1,0,0,1,0,0
92,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0
93,4.0,2.0,2.0,4.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,2.0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0
94,3.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1,1,0,0,1,0,0
95,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,3.0,3.0,5.0,5.0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1
96,3.0,3.0,5.0,3.0,4.0,4.0,4.0,5.0,3.0,4.0,4.0,4.0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0
97,3.0,3.0,4.0,2.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,0
98,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,0,1,0,0,0,1,0,1,0,1,1,0,1,0,0,1,0,0,1,0,0
99,3.0,2.0,4.0,3.0,4.0,1.0,3.0,3.0,1.0,1.0,1.0,3.0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,0,1,0,1,0,1
100,4.0,4.0,4.0,3.0,4.0,5.0,5.0,5.0,5.0,3.0,4.0,5.0,0,1,0,0,0,1,0,1,0,1,1,0,1,0,0,0,1,0,1,0,0
101,3.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,3.0,4.0,4.0,0,1,0,0,0,1,0,1,0,1,1,0,1,0,0,0,1,1,0,0,0
102,4.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,1,1,0,0,1,0,0
103,3.0,3.0,4.0,2.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0
104,4.0,4.0,1.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1,1,0,1,0,1,1
106,1.0,5.0,5.0,1.0,5.0,1.0,1.0,1.0,5.0,2.0,2.0,5.0,0,1,0,0,0,1,0,1,0,1,1,0,1,0,0,0,1,0,1,1,0
107,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,0,1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,1,0,1,0,1
108,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,0,1,0,1,0,0
109,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,1,1,0,0,0
110,3.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,1,0,0,0,1,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0
111,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,1,0,1,0,0
112,3.0,2.0,2.0,4.0,2.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1
113,4.0,3.0,5.0,2.0,4.0,4.0,4.0,2.0,4.0,2.0,4.0,5.0,0,1,0,0,0,1,0,1,0,1,1,0,1,0,0,1,0,0,1,0,0
114,4.0,2.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1,1,0,0,1,0,0
115,5.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,3.0,4.0,4.0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0
116,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,3.0,3.0,5.0,0,1,0,0,0,1,0,1,0,1,1,0,1,0,0,0,1,0,1,0,0
117,2.0,2.0,4.0,1.0,3.0,5.0,5.0,4.0,3.0,4.0,4.0,4.0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,1,0,0,1,0,1
118,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0
119,2.0,3.0,2.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1
120,5.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0
121,4.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,3.0,5.0,4.0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1,0,1,1,0,0,0
122,5.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,3.0,3.0,4.0,4.0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0
123,4.0,4.0,3.0,4.0,4.0,3.0,4.0,2.0,4.0,4.0,4.0,5.0,0,0,0,1,0,1,0,1,0,1,1,0,1,0,0,0,1,0,1,0,0
124,4.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,1,0,0,0,1,0,1,0,1,1,0,1,0,0,0,1,0,1,0,0
125,1.0,4.0,3.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0,0,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,0,1,0,0
126,3.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,0,1,0,0,0,1,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0
127,4.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0
129,4.0,3.0,4.0,4.0,4.0,5.0,5.0,5.0,3.0,3.0,4.0,4.0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0
130,5.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,3.0,2.0,2.0,4.0,0,1,0,0,0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,0,0
131,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,1,0,0,0,1,0,1,0,1,1,0,1,0,0,0,1,0,1,0,0
132,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0
133,4.0,4.0,4.0,4.0,5.0,4.0,4.0,2.0,4.0,2.0,5.0,5.0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,1
134,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,3.0,3.0,4.0,0,1,0,0,0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,0,0
135,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,3.0,4.0,5.0,0,1,0,0,0,1,0,1,0,1,1,0,1,0,0,0,1,0,1,0,0
136,3.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,3.0,3.0,5.0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0
137,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,3.0,4.0,5.0,5.0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,0,1,0,1,0,0
138,4.0,4.0,4.0,5.0,5.0,3.0,3.0,3.0,5.0,4.0,4.0,5.0,0,1,0,0,0,1,0,1,1,0,0,1,1,0,0,0,1,0,1,0,0
139,4.0,3.0,3.0,3.0,3.0,4.0,4.0,5.0,3.0,3.0,4.0,4.0,0,1,0,0,0,1,0,1,1,0,1,0,1,0,0,1,0,0,1,0,1
140,3.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0
141,4.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1,1,0,0,1,0,0
142,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0
143,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0
144,2.0,4.0,2.0,2.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,0,1,0,0,0,1,1,0,0,1,1,0,1,0,0,1,0,1,0,0,0
145,4.0,4.0,4.0,3.0,3.0,2.0,2.0,2.0,4.0,4.0,3.0,4.0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,1,0,0,1,0,1
146,5.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,0,1
147,3.0,5.0,4.0,3.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,0,1,0,0,0,1,0,1,0,1,1,0,1,0,0,1,0,0,1,0,0
148,4.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,3.0,3.0,3.0,4.0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0
149,5.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,3.0,4.0,4.0,0,1,0,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,1,0,0
150,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,1,0,0,0,1,0,1,0,1,1,0,1,0,0,0,1,0,1,0,0
151,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0
152,2.0,2.0,4.0,1.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0
153,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,0,1,0,0,1,0,1,0,1,0,1,1,0,0,1,0,0,1,0,0
155,4.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,0,1,0,0,0,1,0,1,0,1,1,0,1,0,0,0,1,0,1,0,0
156,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0
157,2.0,2.0,2.0,1.0,4.0,3.0,3.0,2.0,1.0,4.0,4.0,4.0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1
158,2.0,3.0,4.0,2.0,4.0,5.0,3.0,3.0,3.0,3.0,5.0,5.0,0,1,0,0,0,1,0,1,0,1,0,1,1,0,0,0,1,0,1,0,1
159,5.0,5.0,4.0,4.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,0,1,0,0,0,1,0,1,0,1,0,1,1,0,0,0,1,0,1,0,0
160,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1,1,0,0,1,0,0
161,4.0,4.0,4.0,2.0,4.0,5.0,5.0,5.0,4.0,3.0,4.0,4.0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,0
